PSGC,GEOLEVEL,LGUNAME
0100000000,REG,Region I (Ilocos Region)
0102800000,PROV,Ilocos Norte
0102801000,MUN,Adams
0102801001,BGY,Adams
0102802000,MUN,Bacarra
0102802001,BGY,Bani
0102802002,BGY,Buyon
0102802003,BGY,Cabaruan
0102802004,BGY,Cabulalaan
0102802005,BGY,Cabusligan
0102802006,BGY,Cadaratan
0102802007,BGY,Calioet-Libong
0102802008,BGY,Casilian
0102802009,BGY,Corocor
0102802011,BGY,Duripes
0102802012,BGY,Ganagan
0102802013,BGY,Libtong
0102802014,BGY,Macupit
0102802015,BGY,Nambaran
0102802016,BGY,Natba
0102802017,BGY,Paninaan
0102802018,BGY,Pasiocan
0102802019,BGY,Pasngal
0102802020,BGY,Pipias
0102802021,BGY,Pulangi
0102802022,BGY,Pungto
0102802024,BGY,San Agustin I
0102802025,BGY,San Agustin II
0102802027,BGY,San Andres I
0102802028,BGY,San Andres II
0102802030,BGY,San Gabriel I
0102802031,BGY,San Gabriel II
0102802033,BGY,San Pedro I
0102802034,BGY,San Pedro II
0102802036,BGY,San Roque I
0102802037,BGY,San Roque II
0102802039,BGY,San Simon I
0102802040,BGY,San Simon II
0102802041,BGY,San Vicente
0102802042,BGY,Sangil
0102802044,BGY,Santa Filomena I
0102802045,BGY,Santa Filomena II
0102802046,BGY,Santa Rita
0102802047,BGY,Santo Cristo I
0102802048,BGY,Santo Cristo II
0102802050,BGY,Tambidao
0102802051,BGY,Teppang
0102802052,BGY,Tubburan
0102803000,MUN,Badoc
0102803001,BGY,Alay-Nangbabaan
0102803002,BGY,Alogoog
0102803003,BGY,Ar-arusip
0102803004,BGY,Aring
0102803005,BGY,Balbaldez
0102803006,BGY,Bato
0102803007,BGY,Camanga
0102803008,BGY,Canaan
0102803009,BGY,Caraitan
0102803011,BGY,Gabut Norte
0102803012,BGY,Gabut Sur
0102803013,BGY,Garreta
0102803016,BGY,Labut
0102803017,BGY,Lacuben
0102803018,BGY,Lubigan
0102803020,BGY,Mabusag Norte
0102803021,BGY,Mabusag Sur
0102803022,BGY,Madupayas
0102803023,BGY,Morong
0102803025,BGY,Nagrebcan
0102803026,BGY,Napu
0102803027,BGY,La Virgen Milagrosa
0102803028,BGY,Pagsanahan Norte
0102803029,BGY,Pagsanahan Sur
0102803030,BGY,Paltit
0102803031,BGY,Parang
